,No,Age,Daily Screen Time (Hours),How many days do you exercise per week?,How many hours did you sleep last night?,Primary Social Media App_Facebook,Primary Social Media App_Instagram,Primary Social Media App_TikTok,Primary Social Media App_WhatsApp,Primary Social Media App_YouTube
0,-1.6984155512168937,0.22782528702526852,1.1799473807119076,0.0,5,0,0,1,0,0
1,-1.630478929168218,0.06644904204903648,-1.301591440579114,0.0,8,0,0,1,0,0
2,-1.5625423071195421,1.1960827568826609,1.800332086034663,0.0,6,0,0,1,0,0
3,-1.4946056850708664,0.06644904204903648,2.4207167913574184,0.0,7,0,0,0,1,0
4,-1.4266690630221908,0.06644904204903648,-0.06082202993360326,0.0,6,0,0,0,0,1
5,-1.3587324409735149,-0.09492720292719556,-1.301591440579114,0.0,6,0,0,0,1,0
6,-1.2907958189248392,-1.2245609177608199,0.5595626753891522,0.0,6,0,0,1,0,0
7,-1.2228591968761635,2.164340226740053,-1.301591440579114,0.0,8,1,0,0,0,0
8,-1.1549225748274876,0.7119540219539647,-0.06082202993360326,0.0,5,0,0,1,0,0
9,-1.086985952778812,-0.09492720292719556,-1.301591440579114,0.0,3,0,0,1,0,0
10,-1.0190493307301363,-1.870065897665748,1.1799473807119076,0.0,5,0,0,1,0,0
11,-0.9511127086814605,-0.25630344790342763,-1.9219761459018696,0.0,4,0,0,1,0,0
12,-0.8831760866327847,-0.9018084278083558,-0.6812067352563587,0.0,7,0,0,1,0,0
13,-0.815239464584109,0.5505777769777326,1.800332086034663,0.0,8,0,0,0,1,0
14,-0.7473028425354332,-0.41767969287965967,-0.6812067352563587,0.0,6,0,0,1,0,0
15,-0.6793662204867574,-0.41767969287965967,-0.6812067352563587,0.0,6,0,0,1,0,0
16,-0.6114295984380818,0.22782528702526852,2.4207167913574184,0.0,5,0,0,0,1,0
17,-0.543492976389406,-0.9018084278083558,-0.6812067352563587,0.0,5,0,1,0,0,0
18,-0.47555635434073024,1.3574590018588928,-0.06082202993360326,0.0,5,1,0,0,0,0
19,-0.4076197322920545,0.3892015320015006,-0.6812067352563587,0.0,7,0,0,1,0,0
20,-0.3396831102433787,-1.063184672784588,-0.6812067352563587,0.0,7,0,0,1,0,0
21,-0.271746488194703,0.06644904204903648,-0.06082202993360326,0.0,7,0,0,1,0,0
22,-0.20380986614602725,0.22782528702526852,-0.6812067352563587,0.0,8,0,0,1,0,0
23,-0.1358732440973515,-1.385937162737052,1.800332086034663,0.0,3,0,0,1,0,0
24,-0.06793662204867575,-0.25630344790342763,-0.06082202993360326,0.0,7,0,0,0,1,0
25,0.0,-1.547313407713284,0.5595626753891522,0.0,7,0,0,1,0,0
26,0.06793662204867575,0.3892015320015006,-0.06082202993360326,0.0,6,0,0,1,0,0
27,0.1358732440973515,2.002963981763821,0.5595626753891522,0.0,5,0,0,1,0,0
28,0.20380986614602725,1.518835246835125,-0.6812067352563587,0.0,8,1,0,0,0,0
29,0.271746488194703,-0.9018084278083558,0.5595626753891522,0.0,5,0,0,1,0,0
30,0.3396831102433787,0.06644904204903648,-0.6812067352563587,0.0,8,0,1,0,0,0
31,0.4076197322920545,1.0347065119064287,-0.6812067352563587,0.0,8,0,0,1,0,0
32,0.47555635434073024,-1.063184672784588,-0.06082202993360326,0.0,5,0,0,1,0,0
33,0.543492976389406,-0.41767969287965967,0.5595626753891522,0.0,6,0,0,1,0,0
34,0.6114295984380818,0.5505777769777326,0.5595626753891522,0.0,5,0,0,1,0,0
35,0.6793662204867574,0.06644904204903648,1.1799473807119076,0.0,8,1,0,0,0,0
36,0.7473028425354332,2.164340226740053,-0.6812067352563587,0.0,8,1,0,0,0,0
37,0.815239464584109,1.1960827568826609,0.5595626753891522,0.0,7,0,0,1,0,0
38,0.8831760866327847,-1.2245609177608199,1.1799473807119076,0.0,6,0,0,1,0,0
39,0.9511127086814605,-0.09492720292719556,0.5595626753891522,0.0,8,0,0,1,0,0
40,1.0190493307301363,-1.385937162737052,-0.6812067352563587,0.0,6,0,0,1,0,0
41,1.086985952778812,0.22782528702526852,0.5595626753891522,0.0,7,0,0,1,0,0
42,1.1549225748274876,-0.5790559378558917,-0.6812067352563587,0.0,7,0,0,1,0,0
43,1.2228591968761635,-1.7086896526895161,-1.301591440579114,0.0,8,0,0,0,0,1
44,1.2907958189248392,0.7119540219539647,-1.301591440579114,0.0,9,1,0,0,0,0
45,1.3587324409735149,2.002963981763821,-0.6812067352563587,0.0,8,0,0,1,0,0
46,1.4266690630221908,0.3892015320015006,-0.6812067352563587,0.0,6,0,0,1,0,0
47,1.4946056850708664,-1.2245609177608199,-0.06082202993360326,0.0,5,0,0,1,0,0
48,1.5625423071195421,-0.09492720292719556,0.5595626753891522,0.0,8,0,0,1,0,0
49,1.630478929168218,0.06644904204903648,-0.06082202993360326,0.0,4,0,0,1,0,0
50,1.6984155512168937,-0.5790559378558917,-0.06082202993360326,0.0,7,0,0,0,0,1
